Year,Anodontostoma chacunda,Clupeoidei,Pellona ditchela,Tenualosa toli,Mugilidae,Percoidei,Leiognathidae,Ariidae,Nemipterus spp,Trichiuridae,Trichiurus lepturus,Thyrsites atun,Clupeoidei,Sardinella spp,Stolephorus spp,Scomberomorus spp,Scombroidei,Stromateidae,Rastrelliger spp,Decapterus russelli,Caranx spp,Decapterus spp,Megalaspis cordyla,Rajiformes,Carcharhinus falciformis,Penaeus merguiensis,Natantia,Penaeus spp,Sergestidae,Cephalopoda,Loligo spp,Sepiidae Sepiolidae,Octopodidae,Loliginidae Ommastrephidae,Total
1950,0.001,0.001,0.001,0.001,3200,2200,7100,5400,500,25100,200,3000,30300,0.001,8100,100,0.001,5000,11600,5000,4000,100,2200,1200,0.001,1630,20000,600,0.001,0.001,100,600,0.001,0.001,137230.011
1951,0.001,0.001,0.001,0.001,3400,2200,7300,5000,400,25400,200,3000,30000,0.001,10000,100,0.001,5000,13100,4500,4200,700,1800,1300,0.001,1830,20000,500,0.001,0.001,300,600,0.001,0.001,140830.011
1952,0.001,0.001,0.001,0.001,2100,2200,7300,5800,400,25500,200,3500,21400,0.001,9500,100,0.001,2000,12700,3600,4400,800,2200,1300,0.001,2000,19800,500,0.001,0.001,300,600,0.001,0.001,128200.011
1953,0.001,0.001,0.001,0.001,2500,2400,5500,7700,300,25300,200,3000,30400,0.001,8700,200,0.001,3700,12200,3100,3300,800,2200,1300,0.001,2260,21000,500,0.001,0.001,300,600,0.001,0.001,137460.011
1954,0.001,0.001,0.001,0.001,2400,2700,11700,7200,400,13500,200,2000,36900,0.001,8800,100,0.001,3300,12000,3100,6000,900,1500,1400,0.001,2270,27900,600,0.001,0.001,300,600,0.001,0.001,145770.011
1955,0.001,0.001,0.001,0.001,2900,3900,7300,6300,400,14900,200,2000,47400,0.001,8900,0.001,0.001,2500,11600,3100,8100,900,1500,1100,0.001,2530,22200,1100,0.001,0.001,400,600,0.001,100,149930.011
1956,0.001,0.001,0.001,0.001,2400,4400,15500,7800,400,11300,200,1000,58900,0.001,9500,100,0.001,2300,11600,3600,24500,900,1500,1100,0.001,2870,28500,600,0.001,0.001,400,600,0.001,100,190070.01
1957,0.001,0.001,0.001,0.001,2700,3600,14700,8800,400,17400,200,1500,57700,0.001,9400,100,0.001,2900,12100,3600,6200,900,1500,1700,0.001,3040,25800,600,0.001,200,400,600,0.001,100,176140.009
1958,0.001,0.001,0.001,0.001,3100,6400,16700,9800,500,18900,200,1500,38300,0.001,10700,100,0.001,3000,12000,4000,9300,900,1800,1500,0.001,2610,20100,600,0.001,200,400,600,0.001,100,163310.009
1959,0.001,0.001,0.001,0.001,3500,5000,15400,7000,500,14500,200,1500,40800,0.001,10500,200,0.001,3100,11500,4500,5600,900,1800,1600,0.001,3290,18200,1000,0.001,100,300,600,0.001,100,151690.009
1960,0.001,0.001,0.001,0.001,3700,5300,17400,8300,700,8200,200,1700,40500,0.001,11500,0.001,0.001,3900,13100,4500,11300,900,2200,2100,0.001,3290,19200,1200,0.001,100,400,600,0.001,100,160390.01
1961,0.001,0.001,0.001,0.001,3700,8200,14200,4500,700,9300,300,2000,50100,0.001,11400,0.001,0.001,3000,13100,5800,11500,1200,800,2100,0.001,3650,19000,1300,0.001,0.001,500,700,0.001,100,167150.011
1962,0.001,0.001,0.001,0.001,3800,200,14700,6900,1000,9800,300,2200,51400,0.001,13200,177,0.001,4600,19500,5800,5000,1200,800,2300,0.001,3803,24300,2000,0.001,0.001,500,700,0.001,100,174280.01
1963,0.001,0.001,0.001,0.001,4400,4800,15100,6500,1000,8000,400,1600,48200,0.001,17000,100,0.001,3100,14700,6700,5000,1200,1600,2700,0.001,3607,23400,2200,0.001,100,500,1000,0.001,100,173007.009
1964,0.001,0.001,0.001,0.001,6000,6200,15800,13600,1200,15700,300,1400,66200,0.001,13500,100,0.001,4800,14100,6900,8400,1300,1600,2900,0.001,3815,25000,2500,0.001,100,500,1200,0.001,100,213215.009
1965,0.001,0.001,0.001,0.001,4600,3400,13500,9800,1800,19300,300,2700,51900,0.001,15600,100,0.001,3700,16900,4900,10400,1500,2100,5100,0.001,3750,23000,2700,0.001,100,600,900,0.001,100,198750.009
1966,0.001,0.001,0.001,0.001,4600,7100,19600,8700,2200,15900,300,3800,79800,0.001,18400,100,0.001,2900,22500,6000,10500,1600,4800,5700,0.001,4430,28100,3600,0.001,200,600,900,0.001,100,252430.009
1967,0.001,0.001,0.001,0.001,4500,5200,24300,9500,2200,14900,300,2300,48000,0.001,17700,100,0.001,3200,44400,4000,10900,1500,4000,2800,0.001,4430,42300,5100,0.001,100,600,1400,0.001,500,254230.009
1968,0.001,0.001,0.001,0.001,4200,5100,23500,10100,2200,16100,400,3300,60700,0.001,23200,100,100,2800,72600,3100,7900,1600,3500,3600,0.001,3830,43800,5400,0.001,200,600,1700,0.001,200,299830.008
1969,400,0.001,0.001,0.001,5100,5500,18400,9700,1900,17600,600,3700,64200,0.001,25100,100,0.001,4300,49500,3200,8600,1700,5000,5000,0.001,3810,47200,6300,700,300,700,1800,0.001,200,290610.007
1970,490,0.001,190,100,4290,6400,31900,14440,2300,14600,590,4100,80600,0.001,25520,406,2019,4300,28750,2700,10600,1300,5870,3660,0.001,2530,49160,5400,130,700,800,2500,0.001,200,306545.004
1971,420,0.001,230,100,4130,7400,22400,14170,1770,16200,490,2900,77500,0.001,25600,631,1409,5100,31980,3280,9900,1300,5210,3860,0.001,1610,54900,5700,130,400,800,2570,0.001,370,302460.004
1972,560,0.001,250,0.001,2720,7100,22900,18650,1920,14200,590,2100,64270,0.001,20900,396,1614,5100,14230,5490,9000,2200,3390,4300,0.001,1106,52930,6300,60,300,800,2250,0.001,400,266026.005
1973,560,0.001,270,0.001,3150,6500,15900,32700,2670,40800,980,900,70000,0.001,28260,857,811,5800,24290,6340,5700,2200,4050,3220,0.001,708,60260,8200,130,100,700,3010,0.001,660,329726.005
1974,670,0.001,265,0.001,5519,9143,45176,35513,3409,30689,1625,599,88938,100,19080,373,1292,8178,17028,9196,8830,2506,6919,5445,0.001,1233,85691,6322,363,110,1413,4781,5,771,401182.003
1975,635,0.001,380,188,7801,14901,39335,34600,6309,21805,1770,761,53996,1223,22087,396,2125,9128,15232,7246,9148,16563,4367,8024,0.001,5558,61825,7437,595,1572,5697,6226,13,860,367803.002
1976,471,0.001,314,671,7807,11083,33028,20998,6139,44964,2370,143,62301,2668,33254,1643,1608,5611,15206,7513,10436,5754,9303,9372,0.001,5130,74410,8458,219,1023,3799,9899,57,492,396144.002
1977,476,0.001,363,212,5985,10321,44362,20051,8835,16763,3428,375,60718,3408,42040,2485,2222,6552,25128,11086,10367,6002,7446,9335,0.001,12647,80822,15294,93,1115,8016,13892,77,1795,431711.002
1978,1431,0.001,359,43,9204,8786,33482,20458,11302,38070,2597,323,66789,3132,44385,1432,2799,5403,28884,11530,8821,5671,11795,6682,0.001,17528,87966,14617,227,1916,8036,14553,57,897,469175.002
1979,878,0.001,321,78,8398,12812,34620,20225,10824,33576,2277,109,71129,11086,62461,2259,1711,14708,38603,7644,11403,6336,14205,7101,0.001,13467,85091,13897,9361,2149,8729,8037,456,11684,525635.002
1980,1029,0.001,590,115,9812,13206,40117,28006,10706,24501,3187,53,87152,2414,59358,2157,3942,14402,53536,8355,12882,6444,11317,8030,0.001,9588,93753,8992,11764,1371,7490,6513,483,11576,552841.002
1981,949,0.001,244,144,9707,17525,38933,26789,10703,37563,2426,56,85300,2066,56524,2633,2010,11546,47247,10564,15202,8831,7453,6952,0.001,6355,75801,13785,11660,2150,7204,5733,534,6967,531556.002
1982,1464,16,769,96,12086,15819,42043,24001,11152,27848,1421,36,83634,27056,68697,2135,1412,16341,68896,13869,9650,11547,10603,7902,0.001,9586,93813,13613,8242,2003,6666,5901,512,8348,607177.001
1983,1674,14,1165,77,13074,18543,47135,30473,10322,38111,1396,28,90048,24576,62940,2123,2683,20533,81300,21941,21125,13901,18577,9244,0.001,10054,101417,14257,15658,2163,7131,7424,375,8330,697812.001
1984,1904,3,1845,90,11246,27408,44552,41740,11893,35696,2353,151,77133,30371,56148,1475,4180,21241,98748,29354,21646,26618,23860,9573,0.001,8279,97533,13538,18058,4421,9350,11443,461,8628,750939.001
1985,3920,8,4628,597,14002,20643,37307,33565,8759,39419,4488,159,52049,27545,47024,2346,4626,16623,89740,13491,17467,27643,12136,9850,0.001,7358,103580,12108,15982,3185,8257,10231,516,10674,659926.001
1986,4607,30,4265,249,15395,28467,35068,42249,11945,33820,3732,224,56035,26657,47785,2651,4060,21627,57245,9790,18297,28951,11002,13543,0.001,7296,115840,12265,15747,5268,9298,11713,1265,11595,667981.001
1987,2472,1,3520,140,15436,33114,40319,34573,17119,31011,4323,286,64631,41655,50039,3079,6762,26466,71336,27910,14508,30555,13254,12304,0.001,8363,113040,11704,12353,18224,10816,10165,733,13620,743831.001
1988,2195,0.001,4620,751,35000,28640,41615,34535,14082,25460,6678,300,61591,32691,63611,2309,66,14927,52181,28625,20399,28400,14772,15409,0.001,9892,87806,11657,16156,27120,12024,8022,886,12427,714847.002
1989,2364,49,4432,455,29743,32418,47839,47434,15543,15907,4017,251,51783,29504,64953,2673,3118,15167,60556,35939,20542,32837,17852,14990,0.001,11020,111506,12323,3017,48774,11624,13522,1959,16660,780771.001
1990,3140,41,4950,168,30326,28633,51468,46011,20817,22968,4234,319,57700,28265,63067,3158,21,15106,80543,38117,18315,34200,17711,15082,2761,8724,112342,10556,3004,10349,9949,12743,3311,15430,773529
1991,3171,1,4802,194,36849,31054,50590,53219,27008,19403,4656,320,66996,25271,56044,3071,25,16354,74201,30623,20514,40790,21597,16056,3569,9634,86815,21812,15500,5614,14804,20131,6934,15793,803415
1992,2435,0.001,5522,315,36106,33479,52220,57621,27262,21122,7486,371,61659,20893,67522,4058,108,12283,79019,15403,22015,34044,19158,16393,5206,10831,129510,16518,3232,12744,18938,26303,6872,19200,845848.001
1993,2633,45,6225,519,21342,33640,56771,79747,35248,18466,7095,370,61108,38440,63250,4276,73,27026,103089,19491,19390,35312,19938,20547,7809,11431,109773,16231,19964,7622,20172,24651,7971,12881,912546
1994,2595,17,7260,626,20886,32841,64248,64714,35144,30105,7991,370,68648,29455,67090,3253,56,32226,129270,45973,17828,30804,30870,19637,12566,12375,100906,16776,17109,11048,20410,22190,5325,12326,972938
1995,2338,30,6091,456,18824,26716,68757,54222,41490,36219,12668,400,87064,54849,74583,4909,140,23523,147946,33373,24338,33760,27681,17953,13224,15952,102465,16265,16993,11405,28177,26263,6416,16101,1051591
1996,2167,107,11227,429,23954,26513,73735,60907,41795,28219,14236,400,90378,53086,74648,4006,367,18207,121841,41305,25290,36295,29963,19142,11928,16830,104707,18033,17797,10596,31229,32845,11649,15498,1069329
1997,1916,102,10919,503,26176,28741,71150,67064,46629,31501,16405,300,89619,51084,84469,3873,332,18970,113585,37611,25984,34430,29683,21856,19030,18150,143772,18323,15629,9212,31753,33988,12226,20686,1135671
1998,1474,22,6113,637,25858,10268,56598,59994,60756,32831,30261,200,87706,56813,90096,3640,559,18397,123373,41459,31283,40716,32258,26165,16528,21549,104846,16336,10741,9497,34758,38106,16360,17956,1124154
1999,3009,45,4448,681,26951,36350,67922,73692,46780,42723,15504,88,86057,54321,82292,4874,825,16453,123600,36536,25245,41982,26834,22954,24605,22089,140107,18481,9172,8932,30798,34799,14232,20953,1164334
2000,2645,13,7069,539,31948,36264,61438,70071,50063,38538,10694,120,89345,42276,81379,4295,323,15123,97735,30448,28986,44789,23520,22159,20651,24116,147964,16318,9753,10487,30945,38465,14386,29868,1132733
2001,2769,50,6884,681,31023,38142,64516,72010,41722,29414,9944,154,96688,33894,78305,5416,447,15654,100596,31075,27468,43133,24840,22263,12041,16781,102484,20422,7658,9268,27993,35730,15659,23635,1048759
2002,2350,305,7236,620,27909,28548,62235,60366,47267,32961,11336,161,101967,20648,75132,7278,114,16644,86307,48050,30595,49450,27325,22625,7719,23492,92879,13871,7227,11213,28712,37613,15057,22784,1027996
2003,2446,75,5569,1142,28158,32473,66273,55253,42386,33204,10438,110,107584,15520,70522,7843,146,16206,131739,52405,29203,36932,21744,21999,12068,24928,98100,13849,6872,13861,23974,34627,11475,22251,1051375
2004,2843,122,5569,645,29021,37440,60640,59212,45860,27424,11184,98,117494,16598,56177,8367,10,22363,143484,55313,24764,33112,22090,23017,6397,18942,113920,13690,5617,12580,25192,38746,12579,23987,1074497
2005,4117,58,9514,909,30901,31251,63486,63672,42597,36980,11209,110,99281,16964,53100,8765,13,16106,146983,59994,27688,35757,36869,11642,2661,24576,87527,12667,4685,11602,22204,29410,7080,19572,1029950
2006,4865,64,12546,1121,33096,33602,68399,68688,47981,39783,11632,415,114796,19258,59249,12756,54,17093,133124,62190,32307,44835,37400,10049,2111,24428,102861,11846,4803,11548,23586,32051,6308,25404,1110249
2007,5613,70,13131,510,49016,39998,65944,83656,52455,49494,11746,70,145574,15886,60648,8825,129,26005,173942,57731,35907,46975,36237,9207,1538,24905,124822,10371,11699,10990,28293,34353,6282,28243,1270265
2008,3592,34,9544,1526,32909,51810,59529,110222,36890,47005,8123,63,155182,17596,73892,13594,10,24006,166894,60006,35137,49624,34925,9139,1425,26428,131472,9312,25927,11829,30005,25312,6799,23184,1292945
2009,3172,20,9753,1854,38610,60026,62320,94886,45213,50842,8012,77,160536,16415,64378,18775,315,21681,191273,52133,39751,54768,45659,7795,1603,29317,132080,10281,28074,12576,28042,48046,6669,27937,1372889
2010,5102,23,7229,949,39090,60291,66222,83729,46610,39228,7358,58,175300,14918,60411,19593,8.92,19781,189730,47718,28726,47723,48987,6378,4610,24657,136251,9305,49017,13608,40275,27946,5066,23593,1349490.92
2011,7680,27,6399,750,52305,56124,64631,83457,45653,47160,5820,53,200553,15791,83134,17082,67.68,21664,166069,36208,46017,81399,50807,5392,4089,35731,145753,9913,30909,12850,56802,31528,5542,21194,1448553.68
2012,8251,45,9016,267,51721,61238,65278,94354,50159,53681,7312,47,227988,13897,85784,16925,4.89,37372,170856,39609,47512,81939,43327,6705,1155,38939,144382,8836,30071,14582,37066,25657,6421,28964,1509360.89
2013,8320,208,10883,161,53630,57118,68722,82784,52346,59956,4979,17,229651,11456,87739,15689,73.39,29176,175143,36413,46233,77578,39652,5069,1260,24975,139111,6475,26367,11934,47648,22459,8344,26463,1468032.39
2014,11077,30,12501,212,23166,28800,112980,72842,55492,74685,9809,6,360698,12786,91310,16353,115.38,31611,173687,43891,52100,57063,47603,5138,1144,35223,142876,7305,29578,26028,50280,25535,5488,32398,1649810.38
2015,9012,170,15341,80,28017,0.001,105262,74178,48097,87884,11955,3,393317,10974,118693,15988,167.39,28184,179841,60055,44261,104131,45600,6680,792,30951,133740,5964,32847,15,62620,46283,6184,39055,1746341.391
2016,10761,131,13319,203,28178,0.001,100397,70882,46971,95910,12881,6,360456,9274,109254,17723,35,29799,170857,93012,45467,111757,49703,6894,700,23629,143737,7166,28670,15,59941,47258,5080,42607,1742673.001
2017,10504.48,42,13797,95.44,29636,0.001,96050.26,75923.47,50619,109341.92,10208,3,376160,6833,155383.73,17883,1035,31094,25451,58739,82201,121040,55295,7228,641,28513,155303.71,6657,27036,11.63,95061,44476,9906,43394,1745562.641
2018,11055,25,15637,219,24001.13,0.001,79325.78,63527.99,53090.2,78253.49,10306,15,331940.61,8198,120407.93,16267,11.66,28594.98,34086,63430,98562.74,202871.37,56437,7612,715,25964,141355.79,6441.33,35320,7.67,113342.19,42600.03,8951.97,44975.38,1723548.241
2019,11367.66,18.49,14113.99,220,31814.05,0.09,96984.93,72329.27,55670.71,85258.38,13556.46,7.18,311152.25,13388,138338.04,22249.64,74,34100.24,34337.02,54202.59,101246.64,218595.37,59085.04,7924.23,655.3,27010,133018.99,7048.97,35568.02,15.16,119591,45145.31,9182.99,46025.35,1799295.36
